texts
एजेन्सी । विज्ञानलेपनि अनौठो कुरालाईपनि सम्भव बनाएको छ । सुन्दै अनौठो लाग्ने १०१ वर्षकी बयोबृद्धा महिला आमा बनेकी छन् । उनले स्वस्थ बच्चाको जन्म दिएर विज्ञानलाई समेत आश्चर्यचकित बनाएकी छन्। १०१ वर्षको उमेरमा बच्चा जन्माउने ति वृद्धा इटालीकि हुन उनले अहिले १७ औँ सन्तानलाई जन्म दिएकी हुन्।
"काठमाडौ महेन्द्रनगरस्थित कञ्चनपुर जिल्ला समन्वय समितिको कार्यालयअघिको चिया पसलमा मंगलबार केही मानिस चिया पिइरहेका थिए । सोही समयमा दिलीपसिंह बिष्ट पनि चिया पसलमा पुगे । चिया पिइरहेका मध्ये एकले ‘रवि लामिछाने गृहमन्त्री भइसके, अब जेल जाने तिम्रा दिन आइहाले’ भनेर उनलाई हाँसोको पात्र बनाए । यो एक संयोग मात्रै हो ।"
ऋषि धमला आफ्नै कार्यलय बाट प्रक्राउ प्रकाशित सामाजिक अभियान्ता शर्मिला वाइबा र पत्रकार ऋषि धमलाबिच प्रेम सम्बन्ध रहेको कुरा बाहिरिएको छ। रास्ट्रीय स्वतन्त्र पार्टी सरकारबाट बाहिरिँदै गर्दा १२ भाइ पत्रकारको कर्तुत सार्वजनिक गरेका थिए। त्यसलगत्तै पत्रकार ऋषि धमलाले आफुँलाई १०३ डीग्रीको ज्वोरो आएको बताएका थिए।
रबि लाई फसाउन ५० लाख बार्गेनिङ गरेको अडियो बाहिरियो भन्दै समचार बनेको छ । आउनुश हेरै यो भिडियो के हो त सत्य भिडियो तल राखिएको छ । प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डसँग भेट गरी नेकपा एमालेका अध्यक्ष केपी शर्मा ओली बालुवाटारस्थित प्रधानमन्त्री निवासबाट बाहिरिएका छन् । प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डसँग राष्ट्रपतिको उम्मेदवार कसलाई बनाउने भन्ने विषयमा छलफल गर्न पुगेका ओली कुरा नमिलेपछि बाहिरिएका हुन्।
काठमाडौ । नेपाली फिल्म उद्योगमा हिरोको पहिचान बनाएकी अभिनेत्री हुन् – रेखा थापा। नम्बर एक नायिकाको सूचीमा रहेकी रेखालाई दर्शकले नयाँ फिल्ममा देख्न नपाएको धेरै समय भयो। कारण रेखा फिल्मी दुनियाँ छाडेर राजनीतिमा लागिन्। तर फिल्ममा जस्तो राजनीतिमा रेखा सफल हुन सकिनन्। उनी पुनः फिल्ममा फर्किने तयारीमा छिन्। आगामी फागुन र वैशाखमा रेखाका दुई फिल्म छायांकनमा जाने तयारीमा छन्। प्रदर्शनको तयारीमा रहेको फिल्म ‘ह्यारीकी प्यारी’को एक गीतमा आइटम डान्स गरेकी रेखाले आफू आमा बन्ने तयारीमा रहेको खुलासा गरेकी छन्।
