texts
काठमाडौँ — नवनिर्वाचित राष्ट्रपति रामचन्द्र पौडेलले 'राष्ट्रपति संस्था'ले निर्वाह गर्ने भूमिकाले संविधान र शासन व्यवस्थाको अभ्यास प्रभावित हुनेमा आफू सचेत रहने प्रतिबद्धता व्यक्त गरेका छन् । निर्वाचित भएपछि बिहीबार साँझ आभार वक्तव्य जारी गर्दै पौडेलले संविधानको अक्षर र भावनालाई आत्मसात गर्ने उल्लेख गरेका छन् ।
प्रचण्डले उपराष्ट्रपतिको निर्वाचनपछि मात्र मन्त्रिपरिषद् विस्तार गर्ने तयारी रहेको जानकारी दिए। काठमाडौं : उपराष्ट्रपतिको निर्वाचनपछि मात्र मन्त्रिपरिषद् विस्तार हुने भएको छ। प्रधानमन्त्री पुष्पकमल दाहाल (प्रचण्ड)ले उपराष्ट्रपतिको निर्वाचनपछि मात्र मन्त्रिपरिषद् विस्तार गर्ने तयारी रहेको जानकारी दिए।
"२५ फागुन, काठमाडौं । नेपाली कांग्रेसका वरिष्ठ नेता रामचन्द्र पौडेल राष्ट्रपतिमा निर्वाचित भएका छन् । गणतन्त्र नेपालको तेस्रो राष्ट्रपति निर्वाचित हुँदा पौडेलले ३२ हजार ८०२ मतभार पाए । आफ्नै उम्मेदवार उठाएको नेकपा एमाले, तटस्थ बसेका राप्रपा र नेपाल मजदुर किसान पार्टी (नेमकिपा) बाहेक सबै दलले पौडेललाई मत दिएका छन् ।"
राष्ट्रिय स्वतन्त्र पार्टी (रास्वपा) ले नवनिर्वाचित हुने राष्ट्रपतिबाट आफ्नो पदको सम्मान हुने विश्वास व्यक्त गरेको छ। रास्वपाका सांसद मनिष झाले विगतमा आलङ्कारिक र सर्वोच्च पद भए पनि राजनीतिक स्वार्थबाट निर्णय भएकोप्रति आलोचना व्यहोर्नपरेको स्मरण गर्दै उनले अब त्यस्तो नहुने विश्वास व्यक्त गरे।
नेपाली कांग्रेसका वरिष्ठ नेता रामचन्द्र पौडेल राष्ट्रपति निर्वाचित भएका छन्। ७८ वर्षका पौडेल बिहीबार भएको चुनावबाट नेपालको तेस्रो राष्ट्रपति निर्वाचित भएका हुन्। कलिलै उमेरमा २०१७ सालमा राजनीतिमा लागेका रामचन्द्र ६ दशक लामो राजनीतिपछि मुलुकको सर्वोच्च पदमा पुगेका हुन्। 
